"","Hospital.name","Phone.number","Street.address","Suburb","Postcode","State","Local.Hospital.Network..LHN.","Primary.Health.Network.area..PHN.","Website","Description","Sector","Beds","Latitude","Longitude","Hospital_ID","SA2_NAME","SA2_5DIGIT","GCC_NAME"
"113","Greenwich Hospital","02 9903 8333","97-115 River Road","GREENWICH","2065","NSW","Northern Sydney","Northern Sydney","www.greenwichhospital.com.au","Metropolitan hospital","Public","<50",-33.827329,151.183376,342,"Lane Cove - Greenwich",11400,"Greater Sydney"
"114","Grenfell Multi Purpose Service","02 6349 1700","80-96 Cowra Road","GRENFELL","2810","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.894286,148.167843,343,"Grenfell",11066,"Rest of NSW"
"115","Griffith Hospital","02 6969 5555","1 Noorebar Avenue","GRIFFITH","2680","NSW","Murrumbidgee","Murrumbidgee","","Large regional hospital with an emergency department","Public","50-99",-34.282121,146.043774,344,"Griffith (NSW)",11256,"Rest of NSW"
"116","Gulargambone Multi Purpose Service","02 6827 4200","47 Bourbah Street","GULARGAMBONE","2828","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50",-31.329812,148.469216,346,"Coonamble",11094,"Rest of NSW"
"117","Gulgong Multi Purpose Service","02 6374 3400","34 Goolma Road","GULGONG","2852","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.366871,149.521893,347,"Mudgee Region - West",11074,"Rest of NSW"
"118","Gundagai Hospital","02 6940 6300","50 Tor Street","GUNDAGAI","2722","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.051394,148.101764,349,"Gundagai",11264,"Rest of NSW"
"119","Gunnedah Hospital","02 6741 8000","2 Marquis Street","GUNNEDAH","2380","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-30.983146,150.251339,350,"Gunnedah",11199,"Rest of NSW"
"120","Guyra Multi Purpose Service","02 6738 4000","44-48 Sole Street","GUYRA","2365","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.213889,151.679112,351,"Armidale Region - North",11187,"Rest of NSW"
"121","Hawkesbury Hospital","02 4560 5555","2 Day Street","WINDSOR","2756","NSW","Nepean Blue Mountains","Nepean Blue Mountains","","Medium metropolitan hospital with an emergency department","Public","50-99",-33.610712,150.820804,358,"Windsor - Bligh Park",11467,"Greater Sydney"
"122","Hay Hospital","02 6990 8700","351 Murray Street","HAY","2711","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.500349,144.851433,359,"Hay",11177,"Rest of NSW"
"123","Henty Multi Purpose Service","02 6929 4999","7 Keighran Street","HENTY","2658","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.515801,147.031847,367,"Albury Region",11175,"Rest of NSW"
"124","Hillston Hospital","02 6961 7200","48C Burns Street","HILLSTON","2675","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-33.478793,145.539032,374,"Griffith Region",11257,"Rest of NSW"
"125","Holbrook Hospital","02 6036 2522","Bowler Street","HOLBROOK","2644","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.723991,147.320276,379,"Albury Region",11175,"Rest of NSW"
"126","Hornsby Ku-ring-gai Hospital","02 9477 9123","36-76 Palmerston Road","HORNSBY","2077","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/hospitals/hornsby/","Large metropolitan hospital with an emergency department","Public","200-500",-33.701448,151.112941,385,"Hornsby - East",11577,"Greater Sydney"
"127","Hunter New England Mater Mental Health Service","02 4033 5000","Edith Street","WARATAH","2298","NSW","Hunter New England","Hunter New England and Central Coast","","Specialist psychiatric hospital","Public","100-199",-32.897873,151.720669,387,"Waratah - North Lambton",11234,"Rest of NSW"
"128","Hunter Valley Private Hospital","02 4944 3744","20 Mawson Street","SHORTLAND","2307","NSW","","","www.hvph.com.au","","Private","50-99",-32.883085,151.695054,388,"Shortland - Jesmond",11231,"Rest of NSW"
"129","Hunters Hill Private Hospital","02 8876 9300","9 Mount Street","HUNTERS HILL","2110","NSW","","","www.huntershillprivate.com.au","","Private","<50",-33.835273,151.150172,389,"Hunters Hill - Woolwich",11499,"Greater Sydney"
"130","Hurstville Private","02 9579 7777","37 Gloucester Road","HURSTVILLE","2220","NSW","","","www.hurstvilleprivate.com.au","","Private","50-99",-33.962333,151.095989,391,"Hurstville",11368,"Greater Sydney"
"131","Illawarra Mental Health Services","","","WOLLONGONG","2500","NSW","Illawarra Shoalhaven","South Eastern NSW","","Metropolitan hospital","Public","<50",-34.42623,150.891252,392,"Wollongong - East",11548,"Rest of NSW"
"132","Inverell Hospital","02 6721 9500","41 Swanbrook Road","INVERELL","2360","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-29.770728,151.130139,398,"Inverell",11191,"Rest of NSW"
"133","Ivanhoe Hospital","02 6990 2200","11 Columbus Street","IVANHOE","2878","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.898193,144.298904,401,"Far West",11098,"Rest of NSW"
"134","Jerilderie Multi Purpose Service","03 5886 1300","33-39 Southey Street","JERILDERIE","2716","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.356628,145.720596,404,"Tocumwal - Finley - Jerilderie",11185,"Rest of NSW"
"135","John Hunter Hospital","02 4921 3000","Lookout Road","NEW LAMBTON","2305","NSW","Hunter New England","Hunter New England and Central Coast","","Major hospital with an emergency department","Public",">500",-32.922177,151.692438,408,"Lambton - New Lambton",11225,"Rest of NSW"
"136","Junee Multi Purpose Service","02 6924 8200","67 Broadway Street","JUNEE","2663","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.866914,147.581314,414,"Junee",11265,"Rest of NSW"
"137","Justice Health Services","02 9700 3000","1300 Anzac Parade","MALABAR","2036","NSW","Justice Health & Forensic Mental Health","Central and Eastern Sydney","www.justicehealth.nsw.gov.au/","Specialist psychiatric hospital","Public","200-500",-33.96907,151.243206,415,"Malabar - La Perouse - Chifley",11350,"Greater Sydney"
"138","Kareena Private Hospital","02 9717 0000","86 Kareena Road","CARINGBAH","2229","NSW","","","www.kareenaprivate.com.au","","Private","100-199",-34.034986,151.114186,422,"Caringbah",11602,"Greater Sydney"
"139","Karitane Mothercraft Society","02 9794 2300","Corner of The Horsley Drive and Mitchell Street","CARRAMAR","2163","NSW","South Western Sydney","South Western Sydney","www.karitane.com.au/","Early parenting centre","Public","<50",-33.879777,150.965763,423,"Fairfield - East",11480,"Greater Sydney"
"140","Kempsey Hospital","02 6562 6155","119 River Street","KEMPSEY","2440","NSW","Mid North Coast","North Coast","","Medium regional hospital with an emergency department","Public","50-99",-31.067841,152.820038,430,"Kempsey",11155,"Rest of NSW"
"141","Kenmore Hospital","02 4827 3303","Taralga Road","KENMORE","2580","NSW","Southern NSW","South Eastern NSW","","Specialist psychiatric hospital","Public","<50",-34.721253,149.751344,431,"Goulburn",11539,"Rest of NSW"
"142","Kiama Hospital","02 4233 1033","Bonaira Street","KIAMA","2533","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Kiama_Hospital/default.asp","Regional hospital","Public","<50",-34.682937,150.850514,433,"Kiama",11138,"Rest of NSW"
"143","Kingsway Day Surgery","02 9717 0700","Level 1, 533 Kingsway","MIRANDA","2228","NSW","","","http://www.kingswaydaysurgery.com.au/","","Private","<50",-34.034096,151.103827,441,"Miranda - Yowie Bay",11530,"Greater Sydney"
"144","Kurri Kurri Hospital","02 4936 3200","432 Lang Street","KURRI KURRI","2327","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99",-32.825017,151.463018,449,"Kurri Kurri - Abermain",11111,"Rest of NSW"
"145","Kyogle Multi Purpose Service","02 6632 1522","199 Summerland Way","KYOGLE","2474","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50",-28.627124,153.001742,452,"Kyogle",11247,"Rest of NSW"
"146","Lachlan Health Service - Forbes","02 6850 7100","Lot 1 Elgin Street","FORBES","2871","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50",-33.396281,148.013831,454,"Forbes",11065,"Rest of NSW"
"147","Lachlan Health Service - Parkes","02 6861 2400","2 Morrissey Way","PARKES","2870","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50",-33.151507,148.169757,455,"Parkes (NSW)",11067,"Rest of NSW"
"148","Lady Davidson Private Hospital","02 9488 0111","Bobbin Head Road","NORTH TURRAMURRA","2074","NSW","","","www.ladydavidsonprivatehospital.com.au","","Private","100-199",-33.726718,151.139119,456,"Turramurra",11411,"Greater Sydney"
"149","Lake Cargelligo Multi Purpose Service","02 6898 1200","Uabba Street","LAKE CARGELLIGO","2672","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-33.292027,146.374304,458,"Condobolin",11062,"Rest of NSW"
"150","Lake Macquarie Private Hospital","02 4943 3122","3 Sydney Street","GATESHEAD","2290","NSW","","","www.lakemacquarieprivate.com","","Private","100-199",-32.981232,151.691719,460,"Charlestown - Dudley",11208,"Rest of NSW"
"151","Lawrence Hargrave Private Hospital","02 4267 2811","72 Phillip Street","THIRROUL","2515","NSW","","","www.lawrencehargraveprivate.com.au/","","Private","50-99",-34.310173,150.917631,466,"Thirroul - Austinmer - Coalcliff",11148,"Rest of NSW"
"152","Leeton Hospital","02 6953 1111","1 Myall Street","LEETON","2705","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","50-99",-34.545222,146.408831,467,"Leeton",11258,"Rest of NSW"
"153","Lightning Ridge Multi Purpose Service","02 6829 9999","Lot 25 Pandora Street","LIGHTNING RIDGE","2834","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-29.429973,147.981869,470,"Walgett - Lightning Ridge",11096,"Rest of NSW"
"154","Lismore Hospital","02 6621 8000","60 Uralba Street","LISMORE","2480","NSW","Northern NSW","North Coast","","Large regional hospital with an emergency department","Public","200-500",-28.809191,153.291045,472,"Lismore",11248,"Rest of NSW"
"155","Lithgow Hospital","02 6350 2300","2 Col Drewe Drive","LITHGOW","2790","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Lithgow-Hospital/Lithgow-Health-Service","Small hospital with an emergency department","Public","50-99",-33.498751,150.127701,473,"Lithgow",11070,"Rest of NSW"
"156","Liverpool Day Surgery","02 9601 4488","105-119 Longstaff Avenue","CHIPPING NORTON","2170","NSW","","","","","Private","<50",-33.926324,150.953704,474,"Chipping Norton - Moorebank",11523,"Greater Sydney"
"157","Liverpool Eye Surgery","02 9734 7000","1-11 Moore Street","LIVERPOOL","2170","NSW","","","http://www.curagroup.com.au/liverpool-eye-surgery","","Private","<50",-33.922953,150.926861,475,"Liverpool",11598,"Greater Sydney"
"158","Liverpool Hospital","02 9828 3000","Lot 2 Elizabeth Street","LIVERPOOL","2170","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/liverpool/","Major hospital with an emergency department","Public",">500",-33.919966,150.930776,476,"Liverpool",11598,"Greater Sydney"
"159","Lockhart Hospital","02 6930 7100","53-55 Hebden Street","LOCKHART","2656","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.222378,146.719064,477,"Wagga Wagga Region",11271,"Rest of NSW"
"160","Long Jetty Health Care Centre","02 4336 7700","Wyong Road","KILLARNEY VALE","2261","NSW","Central Coast","Hunter New England and Central Coast","","Metropolitan hospital","Public","<50",-33.369012,151.468538,480,"Bateau Bay - Killarney Vale",11044,"Greater Sydney"
"161","Lourdes Hospital Dubbo","02 6841 8500","80-110 Cobbora Road","DUBBO","2830","NSW","Western NSW","Western NSW","","Specialist rehabilitation hospital","Public","<50",-32.238511,148.627361,483,"Dubbo - South",11101,"Rest of NSW"
"162","Macksville Hospital","02 6568 0666","14-22 Boundary Street","MACKSVILLE","2447","NSW","Mid North Coast","North Coast","","Small hospital with an emergency department","Public","<50",-30.713725,152.919838,489,"Macksville - Scotts Head",11157,"Rest of NSW"
"163","Maclean Hospital","02 6640 0111","21 Union Street","MACLEAN","2463","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","<50",-29.454219,153.201094,490,"Maclean - Yamba - Iluka",11082,"Rest of NSW"
"164","Macquarie Hospital","02 9888 1222","1 Wicks Road","NORTH RYDE","2113","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/Hospitals/Macquarie/","Specialist psychiatric hospital","Public","100-199",-33.802312,151.124818,491,"North Ryde - East Ryde",11501,"Greater Sydney"
"165","Macquarie University Hospital","02 9812 3000","3 Technology Place","MACQUARIE UNIVERSITY","2113","NSW","","","www.muh.org.au","","Private","100-199",-33.773484,151.117877,492,"Macquarie Park - Marsfield",11500,"Greater Sydney"
"166","Madison Day Surgery","02 8445 0633","3/25-29 Hunter St","HORNSBY","2077","NSW","","Northern Sydney","www.madisonds.com.au","","Private","<50",-33.703145,151.100395,493,"Hornsby - East",11577,"Greater Sydney"
"167","Maitland Hospital","02 4939 2000","550-560 High Street","MAITLAND","2320","NSW","Hunter New England","Hunter New England and Central Coast","","Medium metropolitan hospital with an emergency department","Public","100-199",-32.726723,151.545887,494,"Maitland",11114,"Rest of NSW"
"168","Manilla Hospital","02 6785 4000","143 Court Street","MANILLA","2346","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","50-99",-30.745717,150.732249,501,"Tamworth Region",11205,"Rest of NSW"
"169","Manning Hospital","02 6592 9111","26 York Street","TAREE","2430","NSW","Hunter New England","Hunter New England and Central Coast","","Large regional hospital with an emergency department","Public","100-199",-31.910418,152.454485,502,"Taree",11169,"Rest of NSW"
"170","Mater Hospital Sydney","02 9900 7300","25 Rocklands Road","NORTH SYDNEY","2060","NSW","","","www.matersydney.com.au","","Private","200-500",-33.831152,151.201247,517,"North Sydney - Lavender Bay",11417,"Greater Sydney"
"171","Menindee Health Service","08 8091 4209","Perry Street","MENINDEE","2879","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.390335,142.414869,535,"Far West",11098,"Rest of NSW"
"172","Mercy Care Hospital - Albury","02 6042 1400","550 Poole Street","ALBURY","2640","NSW","Murrumbidgee","Murray","http://www.mercyhealth.com.au/hcmhs/clinics/Pages/Mercy%20Health%20Albury.aspx","Regional hospital","Public","<50",-36.069221,146.916764,537,"Albury - South",11174,"Rest of NSW"
"173","Mercy Care Hospital - Young","02 6382 8444","69 Demondrille Street","YOUNG","2594","NSW","Murrumbidgee","Murrumbidgee","www.mercyhealth.com.au/hcmhs/clinics/Pages/Mercy%20Care%20Centre%20Young.aspx","Regional hospital","Public","<50",-34.321003,148.288693,538,"Young",11543,"Rest of NSW"
"174","Merriwa Multi Purpose Service","02 6532 5000","MacKenzie Street","MERRIWA","2329","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.142714,150.361316,542,"Scone Region",11129,"Rest of NSW"
"175","MetroRehab Hospital","02 8585 4900","275 Addison Road","PETERSHAM","2049","NSW","","","www.metrorehab.com.au","","Private","<50",-33.899441,151.155602,544,"Petersham - Stanmore",11327,"Greater Sydney"
"176","Metwest Surgical","02 9622 7667","17 Hereward Highway","BLACKTOWN","2148","NSW","","","www.metwesteyecentre.com.au","","Private","<50",-33.774236,150.912421,545,"Blacktown (West)",11561,"Greater Sydney"
"177","Milton Ulladulla Hospital","02 4455 1333","104-106 Princes Highway","MILTON","2538","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Milton_Ulladulla/default.asp","Small hospital with an emergency department","Public","<50",-35.317313,150.438918,552,"Ulladulla",11282,"Rest of NSW"
"178","Miranda Eye Surgical Centre","02 9540 4586","Suite 4/16-22 Willock Avenue","MIRANDA","2228","NSW","","","","","Private","<50",-34.03244,151.101631,553,"Miranda - Yowie Bay",11530,"Greater Sydney"
"179","Mogo Day Surgery","02 4474 3774","2-4 Charles Street","MOGO","2536","NSW","","","www.mogodaysurgery.com.au","","Private","<50",-35.782893,150.14387,557,"Eurobodalla Hinterland",11024,"Rest of NSW"
"180","Molong Health Service","02 6392 3300","King Street","MOLONG","2866","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.087622,148.859724,558,"Orange Region",11079,"Rest of NSW"
"181","Mona Vale Hospital","02 9998 0333","Coronation Street","MONA VALE","2103","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/Hospitals/MonaVale/","Large metropolitan hospital","Public","100-199",-33.685353,151.306618,559,"Warriewood - Mona Vale",11423,"Greater Sydney"
"182","Moree Hospital","02 6757 0000","Alice Street","MOREE","2400","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-29.470678,149.839648,567,"Moree",11195,"Rest of NSW"
"183","Morisset Hospital","02 4973 0222","Dora Street","MORISSET","2264","NSW","Hunter New England","Hunter New England and Central Coast","","Specialist psychiatric hospital","Public","100-199",-33.128549,151.512816,568,"Morisset - Cooranbong",11218,"Rest of NSW"
"184","Moruya Hospital","02 4474 2666","2-10 River Street","MORUYA","2537","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","50-99",-35.904137,150.070774,570,"Moruya - Tuross Head",11026,"Rest of NSW"
"185","Mount Druitt Hospital","02 9881 1555","75 Railway Street","MOUNT DRUITT","2770","NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199",-33.765929,150.829646,573,"Mount Druitt - Whalan",11317,"Greater Sydney"
"186","Mount Wilga Private Hospital","02 9847 5000","66 Rosamond Street","HORNSBY","2077","NSW","","","www.mtwilgaprivate.com.au/","","Private","50-99",-33.692829,151.092939,580,"Hornsby - East",11577,"Greater Sydney"
"187","Mudgee Health Service","02 6378 6222","Meares Street","MUDGEE","2850","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50",-32.603229,149.588179,583,"Mudgee",11072,"Rest of NSW"
"188","Murrumburrah-Harden Hospital","02 6386 2200","54 Swift Street","HARDEN","2587","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.555254,148.360186,591,"Young Region",11544,"Rest of NSW"
"189","Murwillumbah Hospital","02 6672 1822","8 Ewing Street","MURWILLUMBAH","2484","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99",-28.323417,153.400811,592,"Murwillumbah",11251,"Rest of NSW"
"190","Muswellbrook Hospital","02 6542 2000","36 Brentwood Street","MUSWELLBROOK","2333","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99",-32.264545,150.900263,593,"Muswellbrook",11126,"Rest of NSW"
"191","Narrabri Hospital","02 6799 2800","11 Cameron Street","NARRABRI","2390","NSW","Hunter New England","Hunter New England and Central Coast","www.hnehealth.nsw.gov.au","Small hospital with an emergency department","Public","<50",-30.325869,149.777108,601,"Narrabri",11197,"Rest of NSW"
"192","Narrandera Hospital","02 6951 0200","54 Adams Street","NARRANDERA","2700","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-34.743181,146.547661,602,"Narrandera",11259,"Rest of NSW"
"193","Narromine Health Service","02 6889 9600","128 Cathundral Street","NARROMINE","2821","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.24261,148.239201,604,"Narromine",11105,"Rest of NSW"
"194","National Capital Private Hospital","02 6222 6666","Corner of Gilmore Crescent and Hospital Road","GARRAN","2605","ACT","","","www.nationalcapitalprivatehospital.com.au","","Private","50-99",-35.344872,149.101944,606,"Garran",81102,"Australian Capital Territory"
"195","Nepean Hospital","02 4734 2000","Derby Street","KINGSWOOD","2747","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Nepean-Hospital/Nepean-Hospital","Major hospital with an emergency department","Public",">500",-33.759865,150.712627,607,"Kingswood - Werrington",11462,"Greater Sydney"
"196","Nepean Private Hospital","02 4732 7333","1-9 Barber Avenue","KINGSWOOD","2747","NSW","","","www.nepeanprivatehospital.com.au","","Private","100-199",-33.759775,150.715206,608,"Kingswood - Werrington",11462,"Greater Sydney"
"197","Neringah Hospital","02 9488 2200","4-12 Neringah Avenue","WAHROONGA","2076","NSW","Northern Sydney","Northern Sydney","","Metropolitan hospital","Public","<50",-33.717856,151.114556,609,"Wahroonga (East) - Warrawee",11412,"Greater Sydney"
"198","Newcastle Private Hospital","02 4941 8400","14 Lookout Road","NEW LAMBTON HEIGHTS","2305","NSW","","","www.newcastleprivatehospital.com.au","","Private","100-199",-32.922537,151.698371,612,"Glendale - Cardiff - Hillsborough",11209,"Rest of NSW"
"199","Nimbin Multi Purpose Service","02 6689 1400","35 Cullen Street","NIMBIN","2480","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50",-28.597371,153.223185,615,"Lismore Region",11249,"Rest of NSW"
"200","North Shore Private Hospital","02 8425 3000","3 Westbourne Street","ST LEONARDS","2065","NSW","","","www.northshoreprivate.com.au","","Private","200-500",-33.820622,151.189159,625,"St Leonards - Naremburn",11401,"Greater Sydney"
"201","Northern Beaches Hospital","02 9105 5000","105 Frenchs Forest Road (West)","FRENCHS FOREST","2086","NSW","Northern Sydney","Northern Sydney","www.northernbeacheshospital.com.au","","Public","200-500",-33.750646,151.23377,631,"Frenchs Forest - Belrose",11428,"Greater Sydney"
"202","Northside Clinic","02 9433 3555","2 Greenwich Road","GREENWICH","2065","NSW","","","www.northsidegroup.com.au","","Private","50-99",-33.825156,151.188367,634,"Lane Cove - Greenwich",11400,"Greater Sydney"
"203","Northside Cremorne Clinic","02 9909 8577","3 Harrison Street","CREMORNE","2090","NSW","","","www.northsidegroup.com.au","","Private","<50",-33.833425,151.222886,635,"Cremorne - Cammeray",11413,"Greater Sydney"
"204","Northside Macarthur Clinic","02 4640 5555","92-96 Dumaresq Street","CAMPBELLTOWN","2560","NSW","","","www.northsidemacarthur.com.au/","","Private","<50",-34.071999,150.816958,636,"Campbelltown - Woodbine",11437,"Greater Sydney"
"205","Northside West Clinic","02 8833 2222","23-27 Lytton Street","WENTWORTHVILLE","2145","NSW","","","www.northsidegroup.com.au","","Private","50-99",-33.811188,150.974575,637,"Wentworthville - Westmead",11589,"Greater Sydney"
"206","Norwest Private Hospital","02 8882 8882","11 Norbrik Drive","BELLA VISTA","2153","NSW","","","www.norwestprivatehospital.com.au","","Private","200-500",-33.744941,150.953608,638,"Baulkham Hills (West) - Bella Vista",11291,"Greater Sydney"
"207","Nowra Private Hospital","02 4424 4700","Weeroona Place","NOWRA","2541","NSW","","","www.nowraprivate.com.au","","Private","50-99",-34.893534,150.606551,639,"Nowra",11278,"Rest of NSW"
"208","Nyngan Multi Purpose Service","02 6835 1700","Hospital Road","NYNGAN","2825","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.560024,147.208772,641,"Nyngan - Warren",11095,"Rest of NSW"
"209","Oberon Multi Purpose Service","02 6336 7200","67-73 North Street","OBERON","2787","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.705249,149.853596,643,"Oberon",11061,"Rest of NSW"
"210","Orange Day Surgery Centre","02 6360 3699","60-62 McNamara Street","ORANGE","2800","NSW","","","","","Private","<50",-33.283027,149.102737,646,"Orange",11077,"Rest of NSW"
"211","Orange Health Service","02 6369 3000","1530 Forest Road","ORANGE","2800","NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","200-500",-33.317316,149.093953,647,"Orange",11077,"Rest of NSW"
"212","Pambula Hospital","02 6495 8200","Merimbola Street","PAMBULA","2549","NSW","Southern NSW","South Eastern NSW","","Regional hospital","Public","<50",-36.926316,149.879232,657,"Merimbula - Tura Beach",11025,"Rest of NSW"
"213","Peak Hill Multipurpose Service","02 6861 7100","111 Newell Highway","PEAK HILL","2869","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.735907,148.199615,661,"Parkes Region",11068,"Rest of NSW"
"214","Pennant Hills Day Surgery","02 9481 0048","361 Pennant Hills Rd","PENNANT HILLS","2120","NSW","","","www.pennanthillsdaysurgery.com.au","","Private","",-33.738295,151.074354,666,"Pennant Hills - Cheltenham",11496,"Greater Sydney"
"215","Perfect Vision Day Surgery","131340","3/25-29 Hunter Street","HORNSBY","2077","NSW","","","www.perfectvision.com.au","","Private","",-33.70323,151.100259,668,"Hornsby - East",11577,"Greater Sydney"
"216","Port Kembla Hospital","02 4223 8000","89-91 Cowper Street","WARRAWONG","2502","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Port_Kembla_Hospital/default.asp","Metropolitan hospital","Public","50-99",-34.485923,150.881778,681,"Port Kembla - Warrawong",11546,"Rest of NSW"
"217","Port Macquarie Hospital","02 6581 2000","1-31 Wrights Road","PORT MACQUARIE","2444","NSW","Mid North Coast","North Coast","","Large regional hospital with an emergency department","Public","200-500",-31.452336,152.878304,683,"Port Macquarie - East",11163,"Rest of NSW"
"218","Port Macquarie Private Hospital","02 6583 5655","Lake Road","PORT MACQUARIE","2444","NSW","","","www.portmacquarieprivate.com.au/","","Private","50-99",-31.442073,152.909375,684,"Port Macquarie - East",11163,"Rest of NSW"
"219","Portland Hospital","02 6359 2666","20 Green Street","PORTLAND","2847","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Portland-Tabulam-Health-Service","Regional hospital","Public","<50",-33.358415,149.978565,687,"Lithgow Region",11071,"Rest of NSW"
"220","Prince of Wales Hospital","02 9382 2222","320-346 Barker Street","RANDWICK","2031","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/prince-of-wales-hospital","Major hospital with an emergency department","Public","200-500",-33.918492,151.23938,689,"Randwick - North",11569,"Greater Sydney"
"221","Prince of Wales Private Hospital","02 9650 4000","Barker Street","RANDWICK","2031","NSW","","","www.princeofwalesprivatehospital.com.au","","Private","100-199",-33.918492,151.238659,690,"Randwick - North",11569,"Greater Sydney"
"222","QEII Family Centre","02 6205 2333","129 Carruthers Street","CURTIN","2605","ACT","Australian Capital Territory","Australian Capital Territory","www.cmsinc.org.au","Early parenting centre","Public","<50",-35.323284,149.079172,693,"Curtin",81100,"Australian Capital Territory"
"223","Queanbeyan Hospital","02 6150 7000","16 Erin Street","QUEANBEYAN","2620","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","50-99",-35.347685,149.232294,695,"Queanbeyan",11009,"Rest of NSW"
"224","Quirindi Hospital","02 6746 0200","Nowland Street","QUIRINDI","2343","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-31.500345,150.676621,701,"Quirindi",11201,"Rest of NSW"
"225","Radiation Oncology Institute - Gosford","02 4349 8000","41 William Street","GOSFORD","2250","NSW","","","https://www.radiationoncologycentres.com.au/centres/gosford/","","Private","",-33.427046,151.345848,703,"Gosford - Springfield",11032,"Greater Sydney"
"226","Radiation Oncology Institute - The Sydney Adventist Hospital Wahroonga","02 9487 9300","185 Fox Valley Road","WAHROONGA","2076","NSW","","","http://www.sah.org.au/radiotherapy","","Private","",-33.733389,151.098606,704,"Wahroonga (East) - Warrawee",11412,"Greater Sydney"
