Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Scullin",5,12,17,25,9,13,14,19,9,23,19,28,7,24,37,61,26,36,7,0,4,0,0,14,821,1240,
"Spence",3,10,8,21,13,9,12,9,5,10,0,3,3,9,16,22,20,36,11,0,0,0,0,10,779,998,
"Weetangera",6,0,0,0,0,5,3,10,3,0,9,11,4,9,3,7,3,33,19,6,0,0,0,4,817,961,
"Molonglo Corridor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,
"West Belconnen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Hume",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kowen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,
"Canberra East",5,7,5,22,13,17,10,31,17,14,4,9,0,11,0,0,0,6,0,4,0,0,0,3,351,528,
"Canberra Airport",0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,13,0,6,0,0,0,0,0,0,3,50,
"Majura",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,0,0,4,44,70,
"Amaroo",6,0,8,8,4,10,7,12,30,32,9,17,4,4,28,45,27,166,42,7,0,5,4,12,1496,1992,
"Bonner",7,3,4,8,9,8,3,8,9,7,3,14,63,42,28,74,51,190,87,6,6,0,0,13,1640,2280,
"Casey",3,5,3,7,8,10,6,5,16,17,4,26,15,53,40,67,54,154,62,8,0,0,0,8,1674,2234,
"Crace",0,0,0,0,3,0,3,3,28,46,27,75,18,29,32,29,12,93,64,23,6,0,0,11,1247,1757,
"Forde",6,0,3,3,4,7,4,5,8,6,3,7,4,4,0,11,18,122,89,23,0,9,0,9,1149,1481,
"Franklin",22,3,6,12,7,12,16,15,7,20,39,154,68,117,95,81,30,145,96,32,14,0,8,29,1541,2562,
"Gungahlin",5,6,4,4,6,33,14,18,16,32,53,205,69,89,83,61,46,310,135,32,6,0,4,26,1191,2463,
"Hall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,86,111,
"Harrison",9,0,0,8,4,12,0,19,32,24,32,215,139,101,66,71,37,200,161,32,11,4,5,18,1672,2891,
"Mitchell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ngunnawal",15,13,23,35,18,19,15,33,16,21,12,54,61,194,162,207,72,133,25,8,0,6,3,27,3016,4184,
"Nicholls",8,4,5,7,6,9,3,8,9,22,0,20,25,21,11,23,21,108,43,26,4,0,4,10,2055,2446,
"Palmerston",9,10,17,29,15,15,9,9,6,13,4,21,22,105,76,101,33,96,28,9,9,0,0,18,1547,2200,
"Gungahlin - East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Jacka",0,0,0,5,0,0,0,0,0,0,0,9,3,5,0,0,3,4,4,0,0,0,0,3,196,253,
"Kenny",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,
"Moncrieff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,
"Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Acton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,
"Ainslie",10,25,68,81,43,33,28,26,13,28,8,18,18,19,15,27,15,131,59,28,17,11,13,36,1426,2199,
"Braddon",13,47,44,59,24,19,24,36,54,20,13,31,60,186,165,178,107,439,147,38,32,8,19,47,1091,2874,
"Civic",4,0,0,0,3,4,0,3,3,4,3,6,7,33,44,96,56,231,186,46,29,22,27,28,604,1453,
"Dickson",8,6,13,17,16,5,3,13,9,8,13,34,38,70,30,33,19,102,16,20,0,0,0,18,511,999,
"Downer",16,5,28,30,12,22,11,23,24,23,21,25,21,27,28,51,23,139,36,11,0,5,7,16,950,1551,
"Hackett",10,5,9,16,9,15,10,8,16,27,23,25,8,9,7,21,13,56,22,6,0,0,0,3,931,1242,
"Lyneham",20,21,40,66,17,22,16,31,26,45,42,80,87,137,98,121,66,167,95,19,6,4,6,40,1239,2501,
"O'Connor (ACT)",28,21,40,63,29,39,20,22,18,23,21,48,15,50,31,64,30,201,63,47,22,7,9,24,1432,2355,
"Turner",16,17,37,55,22,9,12,45,41,26,6,27,25,134,90,102,53,294,104,48,20,6,10,28,898,2139,
"Watson",18,9,35,45,18,22,16,18,17,38,34,79,59,118,73,115,58,163,26,11,5,3,3,23,1565,2570,
"Black Mountain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Campbell",8,3,5,3,0,11,5,6,18,30,24,39,16,24,16,11,6,40,40,30,17,13,10,8,947,1335,
"Duntroon",0,0,0,0,3,0,0,6,23,52,9,26,3,0,0,0,0,3,4,0,0,0,0,4,13,154,
"Parkes (ACT) - North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Reid",16,33,46,48,13,7,14,13,4,10,0,17,14,20,19,39,21,55,19,17,0,5,6,11,437,886,
"Russell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Deakin",14,6,12,15,0,3,0,4,4,7,5,12,5,3,14,9,4,46,52,22,12,6,23,11,921,1209,
"Forrest",6,0,0,0,0,3,0,0,0,0,0,3,0,8,3,23,11,48,42,14,6,13,28,5,504,731,
"Griffith (ACT)",13,26,43,45,21,14,3,17,9,24,8,56,56,88,74,75,44,138,65,30,19,3,22,17,1213,2120,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Narrabundah",22,32,39,62,29,54,29,22,18,29,14,31,30,39,48,104,50,159,62,28,18,10,12,41,1524,2509,
"Parkes (ACT) - South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
"Red Hill (ACT)",12,11,16,18,7,11,3,7,7,13,8,16,12,13,11,15,0,34,27,27,17,15,16,14,846,1195,
"Yarralumla",14,5,14,20,7,8,7,7,0,14,9,7,3,7,12,9,5,46,47,14,17,13,19,12,951,1256,
"Barton",0,0,0,0,0,0,0,0,0,0,5,3,5,17,27,60,21,101,82,39,6,4,6,9,397,789,
"Fyshwick",0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,10,
"Kingston (ACT)",14,12,13,12,9,9,5,7,17,12,3,10,14,69,113,193,78,391,193,71,26,24,25,29,1104,2472,
"Banks",8,8,9,15,11,18,5,13,4,16,3,22,10,50,47,54,22,49,11,5,0,0,0,13,1501,1872,
"Bonython",10,5,19,18,16,17,8,13,8,12,4,19,12,42,42,72,34,118,17,0,0,3,0,13,1070,1564,
"Calwell",12,0,8,21,6,11,5,8,5,4,6,17,16,46,47,52,27,84,18,3,4,0,0,13,1733,2148,
"Chisholm",3,18,15,38,10,19,13,13,10,13,5,12,11,25,16,61,28,68,7,0,0,0,0,11,1609,2007,
"Conder",3,8,6,14,15,31,15,17,8,13,0,17,12,39,37,34,16,51,22,0,0,0,0,8,1513,1883,
"Fadden",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,32,18,13,3,0,0,6,1020,1109,
"Gilmore",6,4,10,21,13,11,9,9,3,13,6,7,3,18,14,31,19,62,7,0,0,0,0,8,770,1040,
"Gordon (ACT)",11,11,26,47,14,23,12,9,14,13,8,24,23,103,79,95,31,78,30,7,5,3,0,20,2316,2997,
"Gowrie (ACT)",8,7,8,15,3,5,13,8,0,4,4,7,0,7,7,23,8,59,8,3,0,0,0,4,964,1161,
"Greenway",4,4,7,10,0,5,6,6,3,0,4,19,29,50,32,102,63,113,15,0,0,0,0,13,482,963,
"Isabella Plains",5,3,6,12,0,8,3,7,8,5,8,17,14,57,63,57,36,62,8,4,0,0,0,9,1362,1752,
"Kambah",34,35,81,109,58,72,44,41,32,30,15,62,41,89,78,163,67,183,36,15,3,3,0,57,4717,6056,
"Macarthur",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,5,14,8,0,0,0,0,0,466,514,
"Monash",14,4,11,14,7,9,6,9,4,8,8,15,0,15,41,79,38,102,20,4,0,0,0,11,1804,2208,
"Mount Taylor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
"Oxley (ACT)",5,3,6,11,7,7,5,14,6,9,5,12,7,20,7,18,0,24,10,0,0,0,0,5,482,654,
"Richardson",0,4,15,29,18,21,3,13,7,8,11,11,13,21,12,48,16,42,4,0,0,0,0,7,884,1192,
"Theodore",4,7,0,13,9,12,3,10,5,10,3,13,13,35,20,41,19,31,11,0,0,0,0,12,1161,1442,
"Tuggeranong",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,
"Wanniassa",11,23,37,61,20,32,15,16,9,12,12,28,15,37,32,72,33,113,26,11,0,0,0,30,2398,3043,
"Tuggeranong - West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
"Chapman",3,0,0,6,5,3,6,5,0,3,0,0,0,6,0,0,4,29,13,12,9,0,0,7,885,1001,
"Duffy",0,0,14,23,9,9,3,13,5,10,3,13,5,11,9,25,18,54,21,4,4,0,3,6,978,1243,
"Fisher",6,0,10,10,13,12,10,10,4,16,7,14,4,21,12,16,11,49,12,3,0,0,0,9,998,1242,
"Holder",3,0,6,8,3,3,3,6,0,11,11,12,5,15,17,30,14,69,9,3,0,0,0,6,891,1124,
"Rivett",5,9,20,32,21,12,7,11,8,10,12,11,3,12,19,36,18,62,6,0,5,0,0,9,999,1343,
"Stirling",5,4,4,10,10,6,5,12,14,13,0,8,4,5,5,17,6,36,13,0,0,3,0,5,646,828,
"Waramanga",6,4,30,36,7,14,6,7,11,10,11,15,8,23,22,23,19,40,16,3,0,0,0,14,792,1117,
"Weston",18,5,7,16,3,8,0,10,5,14,4,18,28,26,30,30,17,61,15,13,3,0,0,7,1058,1405,
"Scrivener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chifley",3,0,8,15,7,9,9,16,8,5,16,41,25,25,18,34,21,65,25,7,8,0,0,10,702,1081,
"Curtin",13,6,14,16,11,16,3,22,14,27,20,21,20,28,12,23,28,115,54,24,9,4,4,14,1553,2079,
"Farrer",6,0,14,6,5,3,6,3,4,13,6,14,14,19,14,15,5,51,23,15,3,0,0,11,987,1240,
"Garran",12,0,19,6,3,8,3,4,10,6,6,15,10,11,10,15,9,175,33,16,22,4,6,16,891,1304,
"Hughes",9,5,17,25,6,4,7,8,9,25,15,7,8,5,0,19,10,45,19,19,4,0,0,12,901,1179,
"Isaacs",8,0,3,3,8,7,0,7,0,3,0,3,0,4,5,23,9,53,22,16,7,4,4,10,762,963,
"Lyons (ACT)",6,16,28,23,17,23,7,31,22,34,43,64,31,43,21,39,31,74,27,15,4,0,5,25,850,1482,
"Mawson",11,9,21,15,12,11,13,21,29,19,42,66,24,34,10,32,19,102,33,3,3,8,4,17,881,1435,
"O'Malley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,21,5,327,362,
"Pearce",7,4,31,20,14,6,3,4,0,9,9,14,5,17,17,25,14,60,18,7,0,4,0,7,809,1109,
"Phillip",7,11,16,12,8,10,14,13,6,4,33,89,113,189,106,81,40,107,9,4,3,4,6,24,724,1639,
"Torrens",11,5,9,4,4,9,11,5,0,7,5,8,7,16,18,22,22,33,9,3,4,4,0,6,642,860,
"Arboretum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Coombs",3,0,0,0,0,3,0,0,3,4,0,6,3,6,11,5,4,20,11,9,3,3,0,4,620,715,
"Denman Prospect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,
"Molonglo - North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Wright",0,0,0,0,0,3,4,6,4,4,4,30,29,30,11,20,14,55,16,7,4,0,0,0,1030,1281,
"ACT - South West",3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,5,0,0,153,195,
"Namadgi",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",27579,10110,9600,41753,16269,33128,23516,38048,22894,40814,29078,57369,33592,62513,43706,69878,32944,146819,86313,48399,25575,14326,25528,32115,2206333,3178198,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
